Name,Gender
Aaratrika,2
Amari,2
Namrata,2
Vyomaang,1
Shubhankar,1
Hemadri,1
Rupak,1
Chandramukhi,2
Sadhya,2
Meera,2
Maaran,1
Chandrani,2
Jairaj,1
Nagendra,1
Satyaki,1
"Gopi, Gopika",2
Acalesvara,1
Akshit,1
Aadarshini,2
Trinetra,2
Iravati,2
Agnikumara,1
Shreyas,1
Dhairyash,1
Jacob,1
Shakyasinha,1
Chanasya,2
Mananya,2
Deepali,2
Nyneishia,2
Amrusha,2
Pakhi,2
Jahan,1
Kaviraj,1
Achyut,1
Dishen,1
Fadi,1
Sakina,2
Palanikumar,1
Izna,2
Romila,2
Sachet,1
Yamini,2
Saleem,1
Omanand,1
Ramila,2
Aabharana,2
Kaustav,1
Bhayanashini,2
Varuna,2
Tuhinsurra,1
Harita,2
Sundaravel,1
Nimita,2
Keemaya,2
Meenakshi,2
Bhagavathi,2
Punthali,2
Treya,2
Vyomdev,1
Minnoli,2
Netravati,2
"Asit, Ashit",1
Ganitha,2
Priyamvada,2
Mohak,1
Sivanta,1
Rajeev,1
Banhi,2
Abhirathi,2
Hari,1
Sumanta,1
Paandu,1
Kalapini,2
Mitra,1
Saujanya,2
Palak,2
Rajalakshmi,2
Devnarayan,1
Urja,2
Ishanika,2
Paranjay,1
Ilamurugu,1
Denise,1
Manaka,2
Arivunambi,1
Parnal,2
Meghashyam,1
Udantika,2
Tamasa,2
Saanjh,2
"Lav, Luv",1
Vrinda,2
Abdul-Jabaar,1
Unnat,1
Bharat,1
Rijuta,2
Yogendra,1
Giridhar,1
Kajal,2
Adwaita,1
Induja,2
Sutanuka,2
Jaigath,1
Ekantha,2
Raviprabha,2
Indradutt,1
Mahati,2
Manisila,2
Dakshina,1
Madhup,1
Lajja,2
Kanak,1
Chellam,2
Shrigauri,2
Maahir,1
Dayanita,2
Suren,1
Tamra,1
Ajaat,1
Mangesh,1
Patala,2
Rwiju,1
Neela,2
Shyamala,2
Ira,2
Ushakanta,1
Rina,2
Habib,1
Sravanthi,2
Laabh,1
Pratibha,2
Sohail,1
Bahubali,1
Abhinatha,1
Manayi,2
Indrajeet,1
Hemani,2
Kamini,2
Abhidhya,2
Ahilya,2
Nedumaan,1
Suhrid,1
Jeemutbahan,1
Sushama,2
Bhumi,1
Geeta,2
Basabi,2
Deviprasad,1
Oojam,1
Bashir,1
Hassan,1
Harsh; Haarsha,1
Rajesh,1
Ranjiv,1
Shakti,1
Sulakshana,2
"Vighnesh, Vignesh",1
Udayasooriyan,1
Jeevitha,2
Ariktha,2
Mandarmalika,2
Jhoomer,1
Ihit,1
Manoritha,2
Vidula,2
Bhaskar,1
Bhanuja,2
Madhuparna,2
Nirmitha,2
Dayada,1
Eshita,2
Aastha,2
Heramba,1
Karabi,2
Pralay,1
Virabhadra,1
Kaushik,1
Suryakanti,2
Samita,2
Dandapaani,1
Shaurav,1
Jhilmil,2
Prabhati,2
Anirvan,1
Radha,2
Ravindra Svarup,1
Mrinal,2
Iraja,2
Vikas,1
Vardhana,1
Vallabhesvara,1
Sudeepta,2
Sandananda,1
Mukta,2
Chiman,1
Guru,1
Zarir,1
Geet,1
Suraj,1
Rasesh,1
Rustom,1
Tanya,2
Baldev,1
Tribhuvaneshwari,2
Stuti,2
Tarjani,2
Abdul-Ghafoor,1
Shankar,1
Elilarasu,1
Kaliranjan,1
Pratap,1
Rajanigandha,2
Doyel,2
Dharmendu,1
Guna,2
Dhvanya,1
Suchira,2
Aruni,1
Bratati,2
Daiwik,1
"Keshori, Ketaki",2
Purala,2
Deependu,1
Jwalia,1
Lydia,2
Makur,1
Gulfam,1
Kadambari,2
Sumitra,2
Murari,1
Shorashi,2
Kruti,2
Bandhananashini,2
Katyayani,2
Himaghna,1
Abhyudita,1
Supriti,2
Savitashri,2
Utsav,1
Tufan,1
Deeptikana,2
Chanda,2
Sadhan,1
Datta,1
Mihika,2
Sugita,2
Rushil,1
Snehal,2
Satish,1
Sendhil,1
Somnath,1
